epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,6784,977,1005,976,929,924,983,990
2,6784,997,951,933,952,985,992,974
3,6784,975,952,1002,942,1003,899,1011
4,6784,994,965,993,974,936,942,980
5,6784,985,969,953,984,959,984,950
6,6784,927,976,966,962,955,1036,962
7,6784,1010,961,965,961,947,989,951
8,6784,973,918,973,975,958,991,996
9,6784,974,968,954,969,993,964,962
10,6784,903,986,1007,998,972,954,964
11,6784,934,1026,955,960,1003,949,957
12,6784,967,966,967,993,957,991,943
13,6784,1007,949,998,925,928,988,989
14,6784,936,981,1011,959,945,968,984
15,6784,982,1011,998,958,941,942,952
16,6784,1005,985,945,958,961,956,974
