epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31936,4562,4562,4565,4561,4558,4564,4564
2,31936,4563,4562,4562,4560,4562,4565,4562
3,31936,4564,4557,4560,4566,4567,4562,4560
4,31936,4564,4563,4564,4564,4563,4561,4557
5,31936,4564,4566,4561,4563,4558,4559,4565
6,31936,4564,4562,4558,4559,4561,4566,4566
7,31936,4559,4564,4564,4558,4564,4563,4564
8,31936,4561,4559,4561,4562,4564,4563,4566
9,31936,4564,4561,4561,4557,4560,4568,4565
10,31936,4563,4563,4557,4566,4564,4559,4564
11,31936,4560,4563,4567,4567,4561,4556,4562
12,31936,4558,4559,4566,4565,4565,4564,4559
13,31936,4563,4558,4562,4565,4563,4562,4563
14,31936,4562,4559,4564,4561,4566,4560,4564
15,31936,4560,4563,4561,4566,4564,4563,4559
16,31936,4563,4557,4562,4563,4563,4564,4564
