epoch,total_samples,Nevi,Melanoma,BKL,BCC,AKIEC,Vascular,Dermatofibroma
1,31968,4567,4567,4566,4567,4567,4567,4567
2,31968,4567,4567,4567,4567,4567,4566,4567
3,31968,4567,4567,4567,4567,4567,4566,4567
4,31968,4567,4567,4567,4566,4567,4567,4567
5,31968,4567,4567,4567,4567,4567,4566,4567
6,31968,4566,4567,4567,4567,4567,4567,4567
7,31968,4567,4567,4567,4566,4567,4567,4567
8,31968,4567,4567,4567,4566,4567,4567,4567
9,31968,4567,4566,4567,4567,4567,4567,4567
10,31968,4567,4567,4567,4566,4567,4567,4567
11,31968,4567,4567,4567,4567,4566,4567,4567
12,31968,4567,4566,4567,4567,4567,4567,4567
13,31968,4567,4567,4567,4566,4567,4567,4567
14,31968,4567,4567,4567,4567,4566,4567,4567
15,31968,4567,4567,4567,4567,4566,4567,4567
16,31968,4567,4566,4567,4567,4567,4567,4567
17,31968,4567,4567,4566,4567,4567,4567,4567
18,31968,4567,4567,4567,4567,4567,4567,4566
19,31968,4567,4567,4567,4567,4567,4566,4567
20,31968,4567,4567,4567,4566,4567,4567,4567
21,31968,4567,4567,4567,4567,4567,4566,4567
